facility_ID,facility_name,address,city,state,zip,county,hospital_type,hospital_ownership,hosp_overall_rating,census_region,census_division,median_age,per_white_non_hisp,med_inc_15plus_12mo,per_below_poverty,per_college_grad_deg_25_plus,COMP_HIP_KNEE,MORT_30_AMI,MORT_30_CABG,MORT_30_COPD,MORT_30_HF,MORT_30_PN,MORT_30_STK,PSI_03,PSI_04,PSI_06,PSI_08,PSI_09,PSI_10,PSI_11,PSI_12,PSI_13,PSI_14,PSI_15,PSI_90
50599,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,2315 STOCKTON BOULEVARD,SACRAMENTO,CA,95817,SACRAMENTO,Acute Care Hospitals,Government - Hospital District or Authority,3,West,Pacific,34.4,44.9,30475,25,40.9,2.3,12.8,2.6,6.5,7.6,16.2,13.6,0.22,103.7,0.15,0.06,2.79,1.14,10.02,4.38,7.09,1.48,1.49,1.17
50603,MEMORIALCARE SADDLEBACK MEDICAL CENTER,24451 HEALTH CENTER DRIVE,LAGUNA HILLS,CA,92653,ORANGE,Acute Care Hospitals,Voluntary non-profit - Private,3,West,Pacific,41.2,56.5,40970,8.4,50.6,2.4,13.2,4.1,7.4,9.9,17.5,12.8,0.06,118.05,0.21,0.05,2.36,0.72,12.65,3.6,3.44,0.74,1.11,1
50604,KAISER FOUNDATION HOSPITAL-SAN JOSE,250 HOSPITAL PARKWAY,SAN JOSE,CA,95119,SANTA CLARA,Acute Care Hospitals,Voluntary non-profit - Private,2,West,Pacific,40,36.9,51273,5.3,51.5,,,,,,,12.3,0.2,,0.22,0.07,2.78,0.89,5.01,3.61,3.69,0.79,0.97,0.93
50608,ADVENTIST HEALTH DELANO,1401 GARCES HIGHWAY,DELANO,CA,93215,KERN,Acute Care Hospitals,Proprietary,2,West,Pacific,31.1,5.3,17122,19.4,7.2,,,,8.7,13.9,19.9,,0.27,,0.18,0.17,2.35,0.92,,3.29,,0.8,1.02,0.96
50609,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM,3440 E LA PALMA AVE,ANAHEIM,CA,92806,ORANGE,Acute Care Hospitals,Voluntary non-profit - Private,,West,Pacific,33.7,25.5,33401,11.8,27.9,,,,,,,,0.23,,0.18,0.07,2.31,0.89,8.82,3.61,3.81,0.78,0.98,1
50624,HENRY MAYO NEWHALL  HOSPITAL,23845  MCBEAN PKWY,VALENCIA,CA,91355,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Private,2,West,Pacific,40.1,59.3,44480,8.4,47.3,3.2,11.1,,6.7,9.6,17,11.1,3.48,188.29,0.17,0.06,2.32,0.85,6.58,3.6,4.38,0.74,0.84,1.42
50625,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,LOS ANGELES,CA,90048,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Other,5,West,Pacific,39,74.2,61478,9,68,2.5,10.5,2,5.9,6.2,10.4,7.3,1.27,124.67,0.25,0.05,2.41,1.26,8.16,5.65,6.63,0.83,1.78,1.41
50633,TENET HEALTH CENTRAL TWIN CITIES COMMUNITY HOSP,1100 LAS TABLAS RD,TEMPLETON,CA,93465,SAN LUIS OBISPO,Acute Care Hospitals,Proprietary,3,West,Pacific,47.7,83.9,47713,4,36.8,2.4,12.6,,9.5,12.3,18.7,15.4,2.01,,0.18,0.06,2.51,0.89,4.95,3.67,3.82,0.76,0.94,1.12
50636,PALOMAR MEDICAL CENTER POWAY,15615 POMERADO ROAD,POWAY,CA,92064,SAN DIEGO,Acute Care Hospitals,Government - Hospital District or Authority,4,West,Pacific,41.5,63.8,46318,4.8,50.5,2.2,,,7.6,9.3,15.1,11.9,0.1,,0.18,0.06,2.26,0.89,4.43,2.81,3.7,0.77,0.9,0.82
50641,EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BLVD,LOS ANGELES,CA,90023,LOS ANGELES,Acute Care Hospitals,Proprietary,2,West,Pacific,30.7,1.5,21413,22.4,7.9,,,,,13.7,15.5,,0.21,,0.18,0.07,2.36,,,3.31,,,1.03,0.94
50663,LOS ANGELES COMMUNITY HOSPITAL,4081 E OLYMPIC BLVD,LOS ANGELES,CA,90023,LOS ANGELES,Acute Care Hospitals,Proprietary,4,West,Pacific,30.7,1.5,21413,22.4,7.9,,,,7.2,8.4,7.8,,0.03,,0.17,0.06,2.24,,,2.81,,0.79,0.97,0.83
50668,LAGUNA HONDA HOSPITAL & REHABILITATION CENTER,375 LAGUNA HONDA BLVD,SAN FRANCISCO,CA,94116,SAN FRANCISCO,Acute Care Hospitals,Government - Local,,West,Pacific,44.2,31.8,51244,5.6,56.1,,,,,,19.5,,0.47,,0.19,0.07,,,,,,,,
50674,KAISER FOUNDATION HOSP SO SACRAMENTO,6600 BRUCEVILLE ROAD,SACRAMENTO,CA,95823,SACRAMENTO,Acute Care Hospitals,Voluntary non-profit - Private,2,West,Pacific,31.5,15.2,24789,22,14.7,,12.1,,,11.3,16.1,11.5,3.35,149.92,0.18,0.07,2.26,0.87,8.85,3.39,3.65,0.76,0.92,1.34
50677,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,5601 DE SOTO AVENUE,WOODLAND HILLS,CA,91367,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Private,,West,Pacific,40.8,62.6,47820,10,54.1,,,,,,,,2.04,,0.22,0.07,2.37,,,3.81,,,1.02,1.14
50678,MEMORIALCARE ORANGE COAST MEDICAL CENTER,9920 TALBERT AVENUE,FOUNTAIN VALLEY,CA,92708,ORANGE,Acute Care Hospitals,Proprietary,3,West,Pacific,44.1,41.2,35885,8.7,42.2,2.7,12.5,2.5,9.1,11.8,14.1,12.7,0.88,150.27,0.28,0.05,2,1.07,9.07,4.46,4.8,0.71,1,1.19
50684,MENIFEE GLOBAL MEDICAL CENTER,28400 MCCALL BOULEVARD,SUN CITY,CA,92585,RIVERSIDE,Acute Care Hospitals,Physician,2,West,Pacific,35.7,30.8,35113,8.8,20.1,,,,8.7,9.7,14.4,,0.27,,0.18,0.07,2.36,0.91,9.11,3.28,4.01,0.8,1.02,1.01
50686,"KAISER FOUNDATION HOSPITAL, RIVERSIDE",10800 MAGNOLIA AVENUE,RIVERSIDE,CA,92505,RIVERSIDE,Acute Care Hospitals,Voluntary non-profit - Other,3,West,Pacific,31.7,21.8,28773,13.2,19.6,,,,,,,,0.22,,0.18,0.07,2.34,,,3.25,,,1.02,1.02
50689,SAN RAMON REGIONAL MEDICAL CENTER,6001 NORRIS CANYON ROAD,SAN RAMON,CA,94583,CONTRA COSTA,Acute Care Hospitals,Proprietary,2,West,Pacific,40.7,47.5,72219,3.4,64.6,3.2,12.8,,8,10.1,15.3,10.3,0.09,,0.2,0.06,2.58,0.82,14.96,3.01,4.04,0.77,1.64,1.1
50690,KAISER FOUNDATION HOSPITAL-SANTA ROSA,401 BICENTENNIAL WAY,SANTA ROSA,CA,95403,SONOMA,Acute Care Hospitals,Voluntary non-profit - Private,2,West,Pacific,38.5,51.9,35479,8.8,25.3,,,,,,,,0.3,,0.18,0.07,2.36,,,3.32,,0.8,1.02,0.99
50696,KECK HOSPITAL OF USC,1500 SAN PABLO STREET,LOS ANGELES,CA,90033,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Other,4,West,Pacific,32,2.4,21112,26.2,12.6,3.1,,2.6,,9.5,16.3,14.5,0.53,124.91,0.21,0.03,2.32,1.46,12.95,3.35,3.85,0.92,0.94,1.12
50697,PATIENTS' HOSPITAL OF REDDING,2900 EUREKA WAY,REDDING,CA,96001,SHASTA,Acute Care Hospitals,Proprietary,,West,Pacific,41.5,80.9,30684,11.9,27.6,,,,,,,,,,0.19,0.07,2.33,0.91,5.6,3.3,3.96,0.8,1.03,0.96
50701,SOUTHWEST HEALTHCARE SYSTEM,25500 MEDICAL CENTER DRIVE,MURRIETA,CA,92562,RIVERSIDE,Acute Care Hospitals,Proprietary,2,West,Pacific,37,51.7,36500,5.8,31.9,3,13.1,,8,10.8,14.3,14.9,2.01,124.85,0.17,0.14,2.12,0.88,10.34,3.74,5.03,1.02,0.83,1.32
50704,MISSION COMMUNITY HOSPITAL,14850 ROSCOE BLVD,PANORAMA CITY,CA,91402,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Private,5,West,Pacific,34.5,10.3,22470,19.2,17.1,2.6,,,6.3,8.7,10.6,,0.04,,0.17,0.06,2.49,0.89,6.95,2.63,4.47,0.76,0.95,0.87
50708,FRESNO SURGICAL HOSPITAL,6125 NORTH FRESNO ST,FRESNO,CA,93710,FRESNO,Acute Care Hospitals,Proprietary,,West,Pacific,29.3,44,23362,24.1,27.3,2.4,,,,,,,0.41,,0.18,0.06,2.23,0.85,6.4,2.47,3.32,0.79,1.01,0.86
50709,DESERT VALLEY HOSPITAL,16850 BEAR VALLEY RD,VICTORVILLE,CA,92395,SAN BERNARDINO,Acute Care Hospitals,Proprietary,4,West,Pacific,32.9,29.5,23430,23.1,14.9,2.4,10.7,,8,7.9,15.3,11.6,0.05,,0.16,0.06,2.16,,,2.65,,0.74,0.92,0.85
50710,KAISER FOUNDATION HOSPITAL - FRESNO,7300 NORTH FRESNO ST,FRESNO,CA,93720,FRESNO,Acute Care Hospitals,Voluntary non-profit - Private,3,West,Pacific,37.5,51.3,44967,6.6,47.8,,,,,,,,0.27,,0.18,0.07,2.35,,,3.76,,0.8,1.01,1.02
50714,SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,2900 CHANTICLEER AVENUE,SANTA CRUZ,CA,95065,SANTA CRUZ,Acute Care Hospitals,Voluntary non-profit - Private,,West,Pacific,41.9,71.8,44242,6.1,50.1,2.5,,,,,,,0.48,,0.18,0.07,2.34,0.88,4.59,3.17,4.45,0.79,0.98,0.94
50717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,7601 EAST IMPERIAL HIGHWAY,DOWNEY,CA,90242,LOS ANGELES,Acute Care Hospitals,Government - Local,,West,Pacific,35.1,10.9,31717,6.9,22.7,2.5,,,,,,,0.29,,0.18,0.07,2.34,0.89,8.04,3.25,5.5,,1.03,1.06
50723,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,1011 BALDWIN PARK BLVD,BALDWIN PARK,CA,91706,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Other,,West,Pacific,35.5,3.2,24133,12.6,13.4,,,,,,,,0.22,,0.18,0.17,2.35,,,3.28,,0.79,1,0.94
50724,BAKERSFIELD HEART HOSPITAL,3001 SILLECT AVENUE,BAKERSFIELD,CA,93308,KERN,Acute Care Hospitals,Proprietary,4,West,Pacific,35.4,65.7,25180,22.8,14.7,2.1,11.7,2.9,9,10.1,16.8,13.7,0.95,,0.17,0.06,2.61,0.6,1.74,2.81,3.13,0.78,0.96,0.77
50726,STANISLAUS SURGICAL HOSPITAL,1421 OAKDALE ROAD,MODESTO,CA,95355,STANISLAUS,Acute Care Hospitals,Voluntary non-profit - Private,,West,Pacific,38.1,49.3,32912,8.4,21.8,2.2,,,,,,,0.58,,0.19,0.07,2.37,0.91,4.91,3.1,3.93,,,0.93
50735,WHITTIER HOSPITAL MEDICAL CENTER,9080 COLIMA RD,WHITTIER,CA,90605,LOS ANGELES,Acute Care Hospitals,Proprietary,5,West,Pacific,35.6,15.4,32593,10.9,20,,11.7,,8.2,9.8,16.4,,0.16,,0.18,0.07,2.33,,,3.22,,0.8,0.99,0.94
50736,MONTEREY PARK HOSPITAL,900 S ATLANTIC BLVD,MONTEREY PARK,CA,91754,LOS ANGELES,Acute Care Hospitals,Proprietary,2,West,Pacific,43.2,5.3,30686,11.2,36.8,,,,,9.9,18.1,,0.23,,0.22,0.07,2.56,0.92,6.13,3.23,,0.79,1.45,0.98
50737,GARFIELD MEDICAL CENTER,525 N GARFIELD AVE,MONTEREY PARK,CA,91754,LOS ANGELES,Acute Care Hospitals,Proprietary,3,West,Pacific,43.2,5.3,30686,11.2,36.8,,14.1,3.5,9.2,10,19.4,10.1,0.64,,0.23,0.06,2.41,0.79,3.28,3.21,4.33,0.76,1.29,0.92
50738,GREATER EL MONTE COMMUNITY HOSPITAL,1701 SANTA ANITA AVE,SOUTH EL MONTE,CA,91733,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Private,5,West,Pacific,35.1,2.4,22692,20.9,10.4,,,,,,15.7,,0.15,,0.18,0.07,2.37,,,3.35,,,1.02,0.95
50739,CENTINELA HOSPITAL MEDICAL CENTER,555 EAST HARDY STREET,INGLEWOOD,CA,90301,LOS ANGELES,Acute Care Hospitals,Proprietary,4,West,Pacific,35.8,4,24839,17.9,15.9,,9.3,,6.5,6,12.3,12,0.02,136.92,0.15,0.05,2.02,0.82,4.48,2.5,3.94,0.74,0.84,0.71
50740,CEDAR-SINAI MARINA DEL REY HOSPITAL,4650 LINCOLN BLVD,MARINA DEL REY,CA,90291,LOS ANGELES,Acute Care Hospitals,Proprietary,3,West,Pacific,39.2,67.6,63760,10.9,68.4,3.3,,,6.6,10.5,13,11.7,0.07,,0.2,0.06,2.18,0.85,11.05,3.83,4.89,0.77,0.91,1.05
50742,OLYMPIA MEDICAL CENTER,5900 WEST OLYMPIC BOULEVARD,LOS ANGELES,CA,90036,LOS ANGELES,Acute Care Hospitals,Proprietary,1,West,Pacific,34.9,58.5,53336,9.9,69.6,,11.5,,6.9,9,13.7,,0.65,,0.17,0.07,2.31,0.9,5.14,3.62,4.55,0.77,0.95,1
50744,ANAHEIM GLOBAL MEDICAL CENTER,1025 S ANAHEIM BLVD,ANAHEIM,CA,92805,ORANGE,Acute Care Hospitals,Proprietary,1,West,Pacific,31.7,13.7,29343,15.9,22.4,,,,,,16.4,,0.24,,0.18,0.07,2.35,0.9,4.77,3.27,3.61,,1.02,0.9
50745,CHAPMAN GLOBAL MEDICAL CENTER,2601 E CHAPMAN AVE,ORANGE,CA,92869,ORANGE,Acute Care Hospitals,Proprietary,2,West,Pacific,40.5,48.3,44579,5.6,45.7,2.4,,,,,14.9,,0.24,,0.18,0.07,2.59,0.91,13.08,3.22,3.98,0.8,1.02,1.07
50746,ORANGE COUNTY GLOBAL MEDICAL CENTER,1001 NORTH TUSTIN AVENUE,SANTA ANA,CA,92705,ORANGE,Acute Care Hospitals,Proprietary,2,West,Pacific,39,42.5,40614,8.5,43.2,,11.4,,,9.6,14.4,12.6,0.09,,0.17,0.06,2.46,0.88,4.37,2.88,3.9,0.78,0.97,0.84
50747,COASTAL COMMUNITIES HOSPITAL,2701 S BRISTOL ST,SANTA ANA,CA,92704,ORANGE,Acute Care Hospitals,Proprietary,1,West,Pacific,34.3,9.8,27071,11.5,19,,,,,,16.6,,0.26,,0.18,0.07,2.35,0.9,5.72,3.3,,0.8,1,0.94
50748,KAISER FOUNDATION HOSPITAL MANTECA,1777 WEST YOSEMITE AVE,MANTECA,CA,95337,SAN JOAQUIN,Acute Care Hospitals,Voluntary non-profit - Private,2,West,Pacific,34.6,33.3,37048,9.8,18.7,,,,,,,,0.22,,0.18,0.07,2.33,,,3.22,,0.79,0.99,0.93
50755,SHERMAN OAKS HOSPITAL,4929 VAN NUYS BLVD,SHERMAN OAKS,CA,91403,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Private,5,West,Pacific,40.5,68,54330,6.4,67.2,,10.4,,7.2,5.7,12.4,12.7,0.04,131.11,0.17,0.05,2.19,0.91,5.75,2.51,4.04,0.77,0.93,0.82
50757,ALVARADO HOSPITAL MEDICAL CENTER,6655 ALVARADO ROAD,SAN DIEGO,CA,92120,SAN DIEGO,Acute Care Hospitals,Proprietary,4,West,Pacific,39.8,65.4,46837,8.9,53.6,2.5,11.5,,10.2,9.1,13.9,13.2,0.04,,0.16,0.06,2.17,0.86,6.68,2.63,3.97,1.06,0.92,0.82
50758,MONTCLAIR HOSPITAL MEDICAL CENTER,5000 SAN BERNARDINO ST,MONTCLAIR,CA,91763,SAN BERNARDINO,Acute Care Hospitals,Voluntary non-profit - Private,2,West,Pacific,32,11.6,24732,18.4,17.7,,,,,,14.5,,0.11,,0.18,0.07,2.36,,,3.26,,,1.02,0.93
50760,KAISER FOUNDATION HOSPITAL - ANTIOCH,4501 SAND CREEK ROAD,ANTIOCH,CA,94531,CONTRA COSTA,Acute Care Hospitals,Voluntary non-profit - Private,4,West,Pacific,36.6,24.1,37830,9.1,29,,,,,,,12.3,0.26,,0.18,0.07,2.37,,,3.3,,0.8,1.02,0.96
50761,PROVIDENCE CEDARS SINAI TARZANA MEDICAL CENTER,18321 CLARK STREET,TARZANA,CA,91356,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Private,3,West,Pacific,44,68.2,39417,9.8,51.6,2.3,12.4,3.7,9.6,9.8,14.4,10.2,0.05,155.03,0.18,0.04,1.86,0.74,7.74,2.11,4.85,0.7,0.72,0.82
50763,"L A DOWNTOWN MEDICAL CENTER, LLC",1711 WEST TEMPLE STREET,LOS ANGELES,CA,90026,LOS ANGELES,Acute Care Hospitals,Proprietary,5,West,Pacific,35.2,28,33351,16.4,42,,,,6,10.8,8.4,,0.03,,0.17,0.05,2.22,0.9,4.65,2.84,5.13,0.77,0.96,0.85
50764,SHASTA REGIONAL MEDICAL CENTER,1100 BUTTE ST,REDDING,CA,96001,SHASTA,Acute Care Hospitals,Proprietary,3,West,Pacific,41.5,80.9,30684,11.9,27.6,1.9,14.3,2.8,10,10.1,19.4,13,0.05,157.51,0.15,0.05,2.02,0.94,2.91,2.76,3.09,0.95,0.75,0.65
50765,KAISER FOUNDATION HOSPITAL-MORENO VALLEY,27300 IRIS AVENUE,MORENO VALLEY,CA,92555,RIVERSIDE,Acute Care Hospitals,Voluntary non-profit - Other,,West,Pacific,33.3,19.6,35581,8.4,23.2,,,,,,,,0.37,,0.18,0.07,,,,,,,1.03,1.01
50766,SUTTER SURGICAL HOSPITAL - NORTH VALLEY,455 PLUMAS BLVD,YUBA CITY,CA,95991,SUTTER,Acute Care Hospitals,Physician,,West,Pacific,33.6,42.3,26653,16.8,15.5,2.6,,,,,,,0.47,,0.18,0.07,2.76,0.83,2.92,3.01,4.04,0.77,0.95,0.86
50767,KAISER FOUNDATION HOSPITAL - VACAVILLE,1 QUALITY DRIVE,VACAVILLE,CA,95688,SOLANO,Acute Care Hospitals,Voluntary non-profit - Private,3,West,Pacific,39.9,56.3,43624,7.2,30.7,,,,,,,,0.22,,0.18,0.07,2.57,0.89,5.39,3.59,,0.79,1,0.95
50769,HOAG ORTHOPEDIC INSTITUTE,16250 SAND CANYON AVENUE,IRVINE,CA,92618,ORANGE,Acute Care Hospitals,Proprietary,,West,Pacific,33.9,36.2,63605,8.3,69.3,1.6,,,,,,,0.21,,0.21,0.05,2.53,0.8,4.48,3.33,2.85,0.79,0.97,0.81
50770,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,28062 BAXTER ROAD,MURRIETA,CA,92563,RIVERSIDE,Acute Care Hospitals,Voluntary non-profit - Private,2,West,Pacific,32.5,43.5,35675,5.6,29.8,2.5,13.9,2.9,8.6,10.5,18.4,11.9,0.62,163.5,0.16,0.06,2.23,1.1,5.3,2.57,4.71,0.76,0.9,0.93
50771,COAST PLAZA HOSPITAL,13100 STUDERBAKER ROAD,NORWALK,CA,90650,LOS ANGELES,Acute Care Hospitals,Proprietary,2,West,Pacific,35.3,11.7,29859,9.8,20.2,,,,7.1,10.5,13.7,,0.11,,0.18,0.07,2.34,,,3.19,,0.79,0.99,0.91
50772,KAISER FOUNDATION HOSPITAL - ROSEVILLE,1600 EUREKA ROAD,ROSEVILLE,CA,95661,PLACER,Acute Care Hospitals,Voluntary non-profit - Private,3,West,Pacific,42.2,70.8,44205,8.3,44.9,,,,,,,,0.16,,0.21,0.07,2.28,0.88,8.85,3.49,4.51,0.77,1.36,1.03
50775,TEMECULA VALLEY HOSPITAL,31700 TEMECULA PKWY,TEMECULA,CA,92592,RIVERSIDE,Acute Care Hospitals,Proprietary,3,West,Pacific,36.4,52.4,44658,5.7,37.3,2.7,11.1,3.3,7.9,8.8,15.7,14.2,2.4,163.34,0.16,0.05,2.47,0.86,3.41,2.54,3.67,1.06,0.88,1.1
50776,COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,LONG BEACH,CA,90806,LOS ANGELES,Acute Care Hospitals,Proprietary,2,West,Pacific,33.7,10,25300,21.1,18.9,,,,7.5,11.7,15.3,,1.29,,0.22,0.07,2.37,,,3.26,,,1.44,1.08
50777,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,SAN LEANDRO,CA,94577,ALAMEDA,Acute Care Hospitals,Voluntary non-profit - Private,2,West,Pacific,41,25.5,40073,7.6,36,,,,,,,,0.19,,0.18,0.07,2.57,0.91,5.95,3.73,4.02,0.79,1,0.97
50778,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,11234 ANDERSON STREET SUITE A,LOMA LINDA,CA,92354,SAN BERNARDINO,Acute Care Hospitals,Voluntary non-profit - Church,,West,Pacific,37.4,33,29822,13.6,47.2,,,,,,,,,,,,,,,,,,,
50779,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",1680 EAST 120TH STREET,LOS ANGELES,CA,90059,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Private,5,West,Pacific,28.4,1.1,20941,24.4,9.3,,,,7.7,10.3,13.5,,1.28,,0.18,0.07,2.32,,,3.73,,0.79,0.98,1.08
50780,FOOTHILL REGIONAL MEDICAL CENTER,14662 NEWPORT AVE,TUSTIN,CA,92780,ORANGE,Acute Care Hospitals,Proprietary,,West,Pacific,35,31.2,33397,11.7,35.4,,,,,,11.9,,0.12,,0.18,0.06,2.32,0.9,5.6,3.12,,0.78,0.99,0.94
50782,CASA COLINA HOSPITAL,255 E BONITA AVE,POMONA,CA,91767,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Private,4,West,Pacific,34.6,13.5,25637,18.2,18.6,1.8,,,,10.3,13.1,,0.13,,0.18,0.07,2.51,0.89,3.95,2.88,3.53,0.79,0.99,0.82
50783,COLUSA MEDICAL CENTER,199 E WEBSTER STREET,COLUSA,CA,95932,COLUSA,Acute Care Hospitals,Proprietary,2,West,Pacific,39.5,45.1,30130,7.9,17.3,,,,8,10.1,17.8,,0.4,,0.18,0.07,,,,,,,1.04,
50784,ADVENTIST HEALTH TULARE,869 NORTH CHERRY STREET,TULARE,CA,93274,TULARE,Acute Care Hospitals,Voluntary non-profit - Private,,West,Pacific,28.4,28.3,27346,18.8,10.4,,,,,10.2,15.7,,0.28,,0.18,0.07,2.36,,,3.33,,0.8,1.03,0.97
50785,DOCS SURGICAL HOSPITAL,6000 SAN VICENTE BLVD,LOS ANGELES,CA,90036,LOS ANGELES,Acute Care Hospitals,Physician,,West,Pacific,34.9,58.5,53336,9.9,69.6,2.4,,,,,,,0.55,,0.18,0.07,2.27,0.9,4.33,3.01,3.74,0.8,1.02,0.89
50849,COMMUNITY HOSPITAL LONG BEACH,1720 TERMINO AVENUE,LONG BEACH,CA,90804,LOS ANGELES,Acute Care Hospitals,Proprietary,,West,Pacific,33.1,26.2,28478,20.3,29.3,,,,,,,,,,,,,,,,,,,
51300,EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS,500 FIRST AVENUE,PORTOLA,CA,96122,PLUMAS,Critical Access Hospitals,Government - Hospital District or Authority,,West,Pacific,47.2,79,31418,12.5,15.7,,,,,,15,,,,,,,,,,,,,
51301,ADVENTIST HEALTH TEHACHAPI VALLEY,1100 MAGELLAN,TEHACHAPI,CA,93561,KERN,Critical Access Hospitals,Government - Hospital District or Authority,,West,Pacific,41,64.9,33723,9.9,19.8,,,,,11.4,14.9,,,,,,,,,,,,,
51302,SOUTHERN INYO HOSPITAL,501 EAST LOCUST STREET,LONE PINE,CA,93545,INYO,Critical Access Hospitals,Government - Hospital District or Authority,,West,Pacific,47.5,44.3,24112,19.5,21,,,,,,,,,,,,,,,,,,,
51303,MAMMOTH HOSPITAL,85 SIERRA PARK ROAD PO BOX 660,MAMMOTH LAKES,CA,93546,MONO,Critical Access Hospitals,Government - Hospital District or Authority,,West,Pacific,37,61.1,40586,11.7,32.4,2.7,,,,,,,,,,,,,,,,,,
51304,JOHN C FREMONT HEALTHCARE DISTRICT,5189 HOSPITAL ROAD,MARIPOSA,CA,95338,MARIPOSA,Critical Access Hospitals,Government - Hospital District or Authority,,West,Pacific,51.1,82.2,27221,17.3,26.5,,,,7.3,10.7,15.9,,,,,,,,,,,,,
51305,MAYERS MEMORIAL HOSPITAL,43563 HWY 299 EAST,FALL RIVER MILLS,CA,96028,SHASTA,Critical Access Hospitals,Voluntary non-profit - Other,,West,Pacific,56.3,70.1,23941,8.5,11.9,,,,,,19.4,,,,,,,,,,,,,
51306,GLENN MEDICAL CENTER,1133 W SYCAMORE ST,WILLOWS,CA,95988,GLENN,Critical Access Hospitals,Government - Federal,,West,Pacific,41.2,62.7,25593,14.6,16.1,,,,,,,,,,,,,,,,,,,
51307,CATALINA ISLAND MEDICAL CENTER,100 FALLS CANYON ROAD,AVALON,CA,90704,LOS ANGELES,Critical Access Hospitals,Voluntary non-profit - Private,,West,Pacific,46.5,52.2,40661,11.5,25.5,,,,,,,,,,,,,,,,,,,
51308,SURPRISE VALLEY COMMUNITY HOSPITAL,741 NORTH MAIN STREET,CEDARVILLE,CA,96104,MODOC,Critical Access Hospitals,Government - Hospital District or Authority,,West,Pacific,47.6,79.2,26464,8.4,17.3,,,,,,,,,,,,,,,,,,,
51309,JEROLD PHELPS COMMUNITY HOSPITAL,733 CEDAR ST,GARBERVILLE,CA,95542,HUMBOLDT,Critical Access Hospitals,Government - Hospital District or Authority,,West,Pacific,45.2,91.7,20912,22.9,25.4,,,,,,,,,,,,,,,,,,,
51310,ADVENTIST HEALTH HOWARD MEMORIAL,1 MARCELA DR,WILLITS,CA,95490,MENDOCINO,Critical Access Hospitals,Voluntary non-profit - Church,4,West,Pacific,38.1,70.2,26441,16.3,22.6,2.6,,,8.4,12.1,15.6,16.3,,,,,,,,,,,,
51311,ORCHARD HOSPITAL,240 SPRUCE STREET,GRIDLEY,CA,95948,BUTTE,Critical Access Hospitals,Voluntary non-profit - Private,,West,Pacific,33.4,57.8,26678,7.9,14.1,,,,,,16.8,,,,,,,,,,,,,
51312,MOUNTAINS COMMUNITY HOSPITAL,29101 HOSPITAL ROAD,LAKE ARROWHEAD,CA,92352,SAN BERNARDINO,Critical Access Hospitals,Government - Hospital District or Authority,,West,Pacific,47,78.5,36035,9.1,42.1,,,,,,,,,,,,,,,,,,,
51314,KERN VALLEY HEALTHCARE DISTRICT,6412 LAUREL AVE,LAKE ISABELLA,CA,93240,KERN,Critical Access Hospitals,Government - Hospital District or Authority,,West,Pacific,50.1,83.2,20987,21,12.5,,,,,,19,,,,,,,,,,,,,
51315,TRINITY HOSPITAL,60 EASTER AVENUE,WEAVERVILLE,CA,96093,TRINITY,Critical Access Hospitals,Government - Hospital District or Authority,,West,Pacific,43.4,80.4,22174,27.3,28.5,,,,,,,,,,,,,,,,,,,
51316,FAIRCHILD MEDICAL CENTER,444 BRUCE STREET,YREKA,CA,96097,SISKIYOU,Critical Access Hospitals,Voluntary non-profit - Other,1,West,Pacific,38.7,73.2,29053,20.5,21.8,2.1,,,11.3,13.3,22.3,17.3,,,,,,,,,,,,
51317,ADVENTIST HEALTH CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,CA,95422,LAKE,Critical Access Hospitals,Voluntary non-profit - Private,5,West,Pacific,38.6,59.6,20555,28.8,6.8,,,,7.1,12,14.3,,,,,,,,,,,,,
